Protein_ID,Gene,Description,UniProt_Accession,Protein,logFC,FC,AveExpr,SE,P.Value,adj.P.Val,n_group1,n_group2,n_total,model_type
sp|O75970|MPDZ_HUMAN,MPDZ,Multiple PDZ domain protein,O75970,1221,-0.58600592573542,0.6661846762489226,11.572319739909567,0.12683964453277594,3.836413674547208e-06,0.012959405392620471,18,18,36,mixed_effects
sp|P22692|IBP4_HUMAN,IGFBP4,Insulin-like growth factor-binding protein 4,P22692,344,-0.3804041537838966,0.7682223521809937,15.067338914447713,0.08618073291728123,1.0146490528144881e-05,0.017137422502036707,18,18,36,mixed_effects
sp|O15540|FABP7_HUMAN,FABP7,"Fatty acid-binding protein, brain",O15540,3305,-0.3567090624938856,0.7809439638503798,14.198949430512185,0.08698316965196902,4.115508457318511e-05,0.046340625229406435,18,18,36,mixed_effects
sp|Q6XQN6|PNCB_HUMAN,NAPRT,Nicotinate phosphoribosyltransferase,Q6XQN6,3056,0.2591681610066779,1.196788453155299,13.860832151585182,0.06544370354904572,7.489657268436119e-05,0.06325015563194303,18,18,36,mixed_effects
sp|O95388|CCN4_HUMAN,CCN4,CCN family member 4,O95388,435,-0.3555354549506265,0.7815795067678146,13.807033777868035,0.09222420185434636,0.00011567241506847343,0.07814828362026065,18,18,36,mixed_effects
sp|Q9UL46|PSME2_HUMAN,PSME2,Proteasome activator complex subunit 2,Q9UL46,1856,0.43292802621212934,1.3499706355297396,12.89587542380412,0.12259854403588473,0.0004135761738518878,0.19094808091125015,18,18,36,mixed_effects
sp|Q6GTS8|P20D1_HUMAN,PM20D1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,Q6GTS8,1195,0.42786105862509655,1.34523764672012,13.861844194536525,0.122383224350827,0.0004721541262118714,0.19094808091125015,18,18,36,mixed_effects
sp|Q8IZJ1|UNC5B_HUMAN,UNC5B,Netrin receptor UNC5B,Q8IZJ1,349,0.2812812263807881,1.21527366365964,15.383828925182764,0.08135407224641347,0.000545224141497059,0.19094808091125015,18,18,36,mixed_effects
sp|O75146|HIP1R_HUMAN,HIP1R,Huntingtin-interacting protein 1-related protein,O75146,2740,1.2700354245491494,2.4116748719475645,10.952022636602111,0.3706599348425596,0.0006116011175486334,0.19094808091125015,18,18,36,mixed_effects
sp|Q8N428|GLT16_HUMAN,GALNT16,Polypeptide N-acetylgalactosaminyltransferase 16,Q8N428,2241,-0.45238180002367945,0.73083528771646,13.661338114655177,0.1327561057328215,0.0006553310131284962,0.19094808091125015,18,18,36,mixed_effects
sp|P61163|ACTZ_HUMAN / sp|P42025|ACTY_HUMAN,ACTR1A / ACTR1B,Alpha-centractin,P61163,853,0.5289542701892633,1.4428829503697707,13.292336826713314,0.15566450420018277,0.0006787040280072627,0.19094808091125015,18,18,36,mixed_effects
sp|P07585|PGS2_HUMAN,DCN,Decorin,P07585,877,-0.1221188366466321,0.9188371945599405,25.310370759910573,0.036216145530194935,0.0007463945834972957,0.19094808091125015,18,18,36,mixed_effects
sp|Q9HAF1|EAF6_HUMAN,MEAF6,Chromatin modification-related protein MEAF6,Q9HAF1,383,-0.5382286687785436,0.6886158681554466,11.836927858852354,0.1596568198280561,0.0007485239793665929,0.19094808091125015,18,18,36,mixed_effects
sp|Q9UBG0|MRC2_HUMAN,MRC2,C-type mannose receptor 2,Q9UBG0,2919,0.31294812356764007,1.2422436123820062,13.971921116294574,0.09325608398696841,0.0007913774815741569,0.19094808091125015,18,18,36,mixed_effects
sp|Q9H8L6|MMRN2_HUMAN,MMRN2,Multimerin-2,Q9H8L6,3106,-0.1549323535806418,0.898174486332594,19.76619352869129,0.04772249009424859,0.0011682235795741115,0.2186161812460325,18,18,36,mixed_effects
sp|Q2UY09|COSA1_HUMAN,COL28A1,Collagen alpha-1(XXVIII) chain,Q2UY09,1846,-0.29845389233789826,0.8131233377418174,17.937715369580726,0.09194250329948044,0.0011700071882305373,0.2186161812460325,18,18,36,mixed_effects
sp|Q9BZC7|ABCA2_HUMAN,ABCA2,ATP-binding cassette sub-family A member 2,Q9BZC7,962,-0.25460610362386726,0.8382159599920243,17.802653106437532,0.07872019440382982,0.0012193381406262987,0.2186161812460325,18,18,36,mixed_effects
sp|P0DP58|LYNX1_HUMAN,LYNX1,Ly-6/neurotoxin-like protein 1,P0DP58,3212,-0.35551040208877843,0.7815930792643339,16.807316808295273,0.11010496333230954,0.0012429699608380526,0.2186161812460325,18,18,36,mixed_effects
sp|Q9H223|EHD4_HUMAN,EHD4,EH domain-containing protein 4,Q9H223,2242,0.3463347766140917,1.2713266657539015,14.68339484904886,0.10752841375618175,0.0012780320574543827,0.2186161812460325,18,18,36,mixed_effects
sp|Q96SM3|CPXM1_HUMAN,CPXM1,Probable carboxypeptidase X1,Q96SM3,320,0.20272232069044027,1.1508679594254994,17.311838599668988,0.06301146902088421,0.0012943527604856867,0.2186161812460325,18,18,36,mixed_effects
sp|Q14974|IMB1_HUMAN,KPNB1,Importin subunit beta-1,Q14974,936,0.47609305481027897,1.3909716874354356,15.312851289838632,0.15022438126140666,0.0015285235826844527,0.23490836865756792,18,18,36,mixed_effects
sp|Q92542|NICA_HUMAN,NCSTN,Nicastrin,Q92542,960,0.3646256769412629,1.287547517835749,17.683626588902655,0.11523425563958736,0.0015550318983283086,0.23490836865756792,18,18,36,mixed_effects
sp|P07203|GPX1_HUMAN,GPX1,Glutathione peroxidase 1,P07203,1490,0.2944100048084254,1.2263833409238203,15.642587545669398,0.09382347559347019,0.0017015474820452384,0.23490836865756792,18,18,36,mixed_effects
sp|Q9NVA2|SEP11_HUMAN / sp|Q92599|SEPT8_HUMAN / sp|Q14141|SEPT6_HUMAN,SEPTIN11 / SEPTIN8 / SEPTIN6,Septin-11,Q9NVA2,533,0.5977108901849052,1.5133135011338474,11.026259320463002,0.19108313131198448,0.0017599123324410387,0.23490836865756792,18,18,36,mixed_effects
sp|Q9Y5R2|MMP24_HUMAN,MMP24,Matrix metalloproteinase-24,Q9Y5R2,1555,-0.2209515818652953,0.8579993251695248,16.967059592979293,0.07076070296706931,0.0017931102711261848,0.23490836865756792,18,18,36,mixed_effects
sp|Q9BT78|CSN4_HUMAN,COPS4,COP9 signalosome complex subunit 4,Q9BT78,2109,0.3590320603430636,1.2825651042952773,12.850622545837517,0.11507165618895672,0.0018080573076070948,0.23490836865756792,18,18,36,mixed_effects
sp|P28908|TNR8_HUMAN,TNFRSF8,Tumor necrosis factor receptor superfamily member 8,P28908,2807,0.16868565304210356,1.1240339827828596,16.04079281359323,0.05568293580979946,0.0024504340043979846,0.2991376409460925,18,18,36,mixed_effects
sp|O00170|AIP_HUMAN,AIP,AH receptor-interacting protein,O00170,2306,1.0746511479777363,2.10621271588793,11.068368168483476,0.3551593267162764,0.0024795304755744793,0.2991376409460925,18,18,36,mixed_effects
sp|Q76LX8|ATS13_HUMAN,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,2537,0.3901856888694224,1.3105620750761966,14.407607087626651,0.13020703640871692,0.002729585935388228,0.31794969964625636,18,18,36,mixed_effects
apoE_E4,,Human Apolipoprotein E4 peptide,,3377,1.2159405182611893,2.3229216887460566,16.051213359268665,0.40849473534880576,0.0029142890099434025,0.3281489425196271,18,18,36,mixed_effects
sp|P47972|NPTX2_HUMAN,NPTX2,Neuronal pentraxin-2,P47972,2824,-0.2681583337292933,0.8303788861878585,21.871758368509692,0.09099868097338376,0.0032104177122091564,0.3498319687691139,18,18,36,mixed_effects
