Protein,Protein Description,Protein Gene,A01-511-84A-C4-001 Sum Normalized Area,A02-Hoof17-002 Sum Normalized Area,A03-304-75B-B4-003 Sum Normalized Area,A04-450-08A-C7-004 Sum Normalized Area,A05-051-21B-D6-005 Sum Normalized Area,A06-510-08B-C8-006 Sum Normalized Area,A07-912-46A-A9-007 Sum Normalized Area,A08-492-84B-B8-008 Sum Normalized Area,A09-159-21A-D7-009 Sum Normalized Area,A10-990-46B-A8-010 Sum Normalized Area,A11-EISAIPool-011 Sum Normalized Area,A12-278-75A-B6-012 Sum Normalized Area,B01-041-40B-B1-013 Sum Normalized Area,B02-934-43A-A2-014 Sum Normalized Area,B03-959-40A-A5-015 Sum Normalized Area,B04-EISAIPool-016 Sum Normalized Area,B05-334-76A-B9-017 Sum Normalized Area,B06-GWPool-018 Sum Normalized Area,B07-168-16A-D3-019 Sum Normalized Area,B08-009-43B-A3-020 Sum Normalized Area,B09-316-76B-C3-021 Sum Normalized Area,B10-062-16B-D5-022 Sum Normalized Area,B11-Hoof17-023 Sum Normalized Area,B12-GWPool-024 Sum Normalized Area,C01-027-37B-B3-025 Sum Normalized Area,C02-907-45A-B2-026 Sum Normalized Area,C03-EISAIPool-027 Sum Normalized Area,C04-155-17A-D1-028 Sum Normalized Area,C05-166-20A-D8-029 Sum Normalized Area,C06-249-64B-B5-030 Sum Normalized Area,C07-985-45B-A1-031 Sum Normalized Area,C08-Hoof17-032 Sum Normalized Area,C09-956-37A-A6-033 Sum Normalized Area,C10-216-64A-C2-034 Sum Normalized Area,C11-056-20B-D9-035 Sum Normalized Area,C12-046-17B-C9-036 Sum Normalized Area,D01-GWPool-037 Sum Normalized Area,D02-039-25B-D2-038 Sum Normalized Area,D03-043-24B-C5-039 Sum Normalized Area,D04-084-86A-C1-040 Sum Normalized Area,D05-EISAIPool-041 Sum Normalized Area,D06-152-24A-D4-042 Sum Normalized Area,D07-099-86B-B7-043 Sum Normalized Area,D08-880-56A-A7-044 Sum Normalized Area,D09-GWPool-045 Sum Normalized Area,D10-143-25A-C6-046 Sum Normalized Area,D11-970-56B-A4-047 Sum Normalized Area,D12-Hoof17-048 Sum Normalized Area
sp|O43240|KLK10_HUMAN,Kallikrein-10 OS=Homo sapiens OX=9606 GN=KLK10 PE=1 SV=3,KLK10,2.2384E+4,1.7273E+4,1.1354E+4,3.0611E+4,1.6035E+4,1.6838E+4,1.0751E+4,2.5414E+4,2.9059E+4,2.4189E+4,1.5277E+4,1.6335E+4,1.5869E+4,1.7254E+4,1.6597E+5,1.6151E+4,8.3193E+3,2.0789E+4,2.0068E+4,1.1873E+4,1.6237E+4,1.8612E+4,1.6473E+4,1.3757E+4,9.9855E+3,1.4638E+4,1.5642E+4,1.6042E+4,1.5640E+4,1.2820E+4,1.5989E+4,2.1991E+4,1.1455E+4,1.6148E+4,1.0913E+4,1.5109E+4,1.0348E+4,1.4306E+4,2.0249E+4,1.6520E+4,1.5942E+4,1.5658E+4,1.4350E+4,1.7299E+4,1.6132E+4,1.1412E+4,2.0541E+4,1.6958E+4
sp|O76031|CLPX_HUMAN,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial OS=Homo sapiens OX=9606 GN=CLPX PE=1 SV=2",CLPX,9.1004E+2,6.9241E+2,1.5245E+3,1.2423E+3,2.7364E+3,8.3342E+2,1.2953E+3,1.9286E+3,2.2359E+3,2.0260E+3,3.5606E+3,2.5475E+2,3.3647E+3,4.1182E+3,1.4077E+3,1.4459E+3,2.2450E+3,1.0809E+5,1.2790E+3,1.1931E+3,2.0573E+3,1.1413E+3,1.5004E+3,1.1947E+5,2.6218E+3,3.0651E+2,2.3389E+3,9.6095E+2,1.4186E+3,1.6823E+3,6.7997E+2,2.1405E+3,3.7519E+3,1.3544E+3,4.2472E+2,7.9806E+2,1.0856E+5,1.3951E+3,1.7897E+3,1.0295E+3,7.1383E+2,1.9150E+3,6.2765E+2,1.4486E+3,9.5669E+4,1.5284E+3,2.0170E+3,1.8423E+2
sp|P02787|TRFE_HUMAN,Serotransferrin OS=Homo sapiens OX=9606 GN=TF PE=1 SV=5,TF,6.6564E+6,5.0388E+6,4.3074E+6,3.7767E+6,3.6960E+6,4.3578E+6,3.5723E+6,7.4364E+6,3.3159E+6,5.7929E+6,4.7830E+6,4.0059E+6,3.3976E+6,3.4197E+6,3.7153E+6,3.9149E+6,3.1745E+6,1.2415E+7,2.5619E+6,3.5114E+6,4.0546E+6,3.1217E+6,6.3870E+6,1.3647E+7,3.7892E+6,4.3736E+6,3.9405E+6,4.1075E+6,3.3001E+6,3.8240E+6,4.2557E+6,7.6807E+6,3.5136E+6,4.6395E+6,4.4959E+6,3.6358E+6,1.2019E+7,3.3800E+6,4.3550E+6,5.3039E+6,3.5123E+6,4.1421E+6,5.1639E+6,4.1053E+6,1.1370E+7,4.1603E+6,4.4446E+6,7.0334E+6
sp|P06858|LIPL_HUMAN,Lipoprotein lipase OS=Homo sapiens OX=9606 GN=LPL PE=1 SV=1,LPL,1.2281E+5,1.0478E+5,1.5637E+5,1.4145E+5,1.6797E+5,1.5929E+5,1.4499E+5,1.1248E+5,1.5328E+5,1.0468E+5,1.4029E+5,9.6517E+4,1.5845E+5,1.2468E+5,1.2009E+5,1.1813E+5,1.7714E+5,4.5401E+4,1.5222E+5,1.2816E+5,1.7978E+5,1.4770E+5,1.0799E+5,6.0310E+4,1.4792E+5,1.6124E+5,1.2739E+5,2.1416E+5,1.7127E+5,2.3764E+5,1.2943E+5,1.2973E+5,1.2167E+5,2.0998E+5,1.6839E+5,2.3097E+5,4.6322E+4,1.4997E+5,1.3538E+5,1.4922E+5,1.1565E+5,1.2972E+5,1.1571E+5,1.3498E+5,5.2520E+4,1.6264E+5,2.0145E+5,1.3604E+5
sp|P14415|AT1B2_HUMAN,Sodium/potassium-transporting ATPase subunit beta-2 OS=Homo sapiens OX=9606 GN=ATP1B2 PE=1 SV=3,ATP1B2,3.7136E+4,2.6973E+4,2.9875E+4,1.5553E+4,1.4976E+4,1.5440E+4,1.7947E+4,1.8841E+4,1.9880E+4,1.4764E+4,3.0466E+4,2.4383E+4,1.6895E+4,2.2065E+4,3.1018E+4,2.1806E+4,2.3489E+4,8.9624E+3,2.3088E+4,3.0664E+4,2.9371E+4,3.6859E+4,2.4988E+4,5.8792E+3,1.4033E+4,2.1660E+4,1.9964E+4,3.7288E+4,1.9272E+4,1.9267E+4,2.7785E+4,2.5120E+4,1.4000E+4,1.9488E+4,2.1131E+4,1.8531E+4,5.6497E+3,1.9011E+4,2.4862E+4,1.5582E+4,1.6473E+4,1.9393E+4,2.0185E+4,1.9497E+4,3.8319E+3,1.8579E+4,2.2087E+4,2.3770E+4
sp|P23381|SYWC_HUMAN,"Tryptophan--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=WARS1 PE=1 SV=2",WARS1,4.9261E+4,6.9107E+5,6.4263E+4,3.8114E+4,4.6280E+4,4.2840E+4,5.1455E+4,3.8631E+4,4.7335E+4,4.4185E+4,4.9832E+4,5.7535E+4,4.9897E+4,4.6562E+4,4.8204E+4,4.2822E+4,6.1963E+4,2.0762E+5,3.8507E+4,4.1098E+4,5.5994E+4,4.9668E+4,6.9244E+5,2.4761E+5,4.8090E+4,5.2734E+4,4.2445E+4,6.6281E+4,5.0702E+4,4.8755E+4,4.8177E+4,7.4601E+5,4.1059E+4,4.3767E+4,6.5993E+4,5.6313E+4,2.1081E+5,6.4753E+4,5.4914E+4,3.4267E+4,4.6760E+4,4.8504E+4,3.1035E+4,3.7006E+4,2.1800E+5,4.7033E+4,5.5677E+4,7.0131E+5
sp|P30566|PUR8_HUMAN,Adenylosuccinate lyase OS=Homo sapiens OX=9606 GN=ADSL PE=1 SV=2,ADSL,7.8178E+3,2.9122E+4,6.2443E+3,6.0508E+3,7.1347E+3,4.0226E+3,5.6201E+3,3.9427E+3,8.4170E+3,3.5947E+3,6.7576E+3,6.9676E+3,5.7576E+3,6.1954E+3,4.5502E+3,3.1530E+3,4.1226E+3,1.4774E+4,3.7024E+3,3.9429E+3,4.4237E+3,7.0438E+3,2.2685E+4,2.1147E+4,2.8774E+3,3.9440E+3,2.7492E+3,8.0907E+3,3.7386E+3,6.1339E+3,4.3835E+3,2.4488E+4,8.3761E+3,6.7392E+3,3.4754E+3,5.3022E+3,1.3607E+4,4.9098E+3,3.1082E+3,3.6782E+3,8.2501E+3,4.7458E+3,3.4186E+3,4.7785E+3,1.8654E+4,6.6730E+3,8.3642E+3,3.4928E+4
sp|P51149|RAB7A_HUMAN,Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1,RAB7A,1.2107E+5,1.5500E+5,2.1392E+5,5.3452E+4,1.0370E+5,1.4308E+5,1.5209E+5,1.4312E+5,1.4452E+5,1.3190E+5,2.0704E+5,1.2355E+5,1.2309E+5,1.7914E+5,1.7583E+5,1.0729E+5,8.7929E+4,1.2159E+5,9.9760E+4,1.0724E+5,1.2740E+5,1.3619E+5,1.4351E+5,1.1244E+5,7.7980E+4,1.1247E+5,9.1389E+4,1.0164E+5,1.3899E+5,2.2304E+5,1.0464E+5,3.1364E+5,1.1256E+5,1.6346E+5,7.9631E+4,9.2675E+4,1.0776E+5,1.4254E+5,1.1185E+5,1.2220E+5,5.7279E+4,1.0344E+5,7.3984E+4,9.1367E+4,8.2872E+4,1.9134E+5,2.5261E+5,2.8551E+5
sp|P51693|APLP1_HUMAN,Amyloid beta precursor like protein 1 OS=Homo sapiens OX=9606 GN=APLP1 PE=1 SV=3,APLP1,4.4547E+8,6.5872E+8,8.3500E+8,4.6658E+8,7.1758E+8,8.0802E+8,7.1617E+8,4.4121E+8,9.3772E+8,5.6976E+8,6.6969E+8,8.3569E+8,6.5434E+8,6.7500E+8,8.3467E+8,6.1084E+8,7.0314E+8,1.3410E+8,6.1025E+8,7.2588E+8,7.7573E+8,7.3596E+8,7.3988E+8,1.3622E+8,4.9624E+8,4.6873E+8,6.5779E+8,7.3387E+8,7.1330E+8,1.1418E+9,4.2804E+8,8.3139E+8,5.5901E+8,1.0575E+9,6.5235E+8,5.6200E+8,1.2498E+8,9.4733E+8,5.1117E+8,4.1937E+8,5.2878E+8,4.3097E+8,4.1500E+8,5.1151E+8,1.4008E+8,1.0000E+9,7.2910E+8,7.5468E+8
sp|Q3B8N2|LEG9B_HUMAN / sp|Q6DKI2|LEG9C_HUMAN / sp|O00182|LEG9_HUMAN,"Galectin-9B OS=Homo sapiens OX=9606 GN=LGALS9B PE=1 SV=3
Galectin-9C OS=Homo sapiens OX=9606 GN=LGALS9C PE=1 SV=2
Galectin-9 OS=Homo sapiens OX=9606 GN=LGALS9 PE=1 SV=2",LGALS9B / LGALS9C / LGALS9,1.6524E+3,3.2888E+3,2.3249E+3,1.5601E+3,8.0948E+2,1.4220E+3,3.4943E+3,4.5724E+2,1.5193E+3,7.0189E+2,1.2859E+3,1.5469E+3,1.3341E+3,6.9987E+2,9.7111E+2,1.5030E+3,7.5031E+3,3.9534E+3,1.0353E+3,5.8186E+2,1.2377E+3,3.4991E+3,4.9627E+3,2.5791E+3,1.6354E+3,1.6818E+3,1.8432E+3,7.6337E+2,6.3424E+2,1.6526E+3,1.5907E+3,7.0091E+3,1.2217E+3,1.1346E+3,1.5386E+3,9.3726E+2,6.0460E+3,1.1827E+3,1.4386E+3,1.2087E+3,1.5630E+3,6.5420E+2,1.7433E+3,7.2934E+2,5.1554E+3,1.0050E+3,7.0060E+3,1.5505E+3
