Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,interaction_effect,interaction_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description,Gene,Protein Gene,UniProt_Accession,UniProt_Entry_Name,UniProt_Database
sp|Q4ZHG4|FNDC1_HUMAN,0.5481157967209317,15.817361316972885,,9.437259179635777e-05,,0.5481157967209317,9.437259179635777e-05,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10190030733449576,False,Not significant,Fibronectin type III domain-containing protein 1,FNDC1,FNDC1,Q4ZHG4,FNDC1_HUMAN,SwissProt
sp|Q9UK55|ZPI_HUMAN,0.3582912972685949,23.432348828348335,,9.79413877856493e-05,,0.3582912972685949,9.79413877856493e-05,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10190030733449576,False,Not significant,Protein Z-dependent protease inhibitor,SERPINA10,SERPINA10,Q9UK55,ZPI_HUMAN,SwissProt
sp|P11150|LIPC_HUMAN,0.2584850598294969,15.174459296116751,,0.00013407935175591547,,0.2584850598294969,0.00013407935175591547,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10190030733449576,False,Not significant,Hepatic triacylglycerol lipase,LIPC,LIPC,P11150,LIPC_HUMAN,SwissProt
sp|Q6UXH0|ANGL8_HUMAN,-1.172287661730966,14.31893334041284,,0.00031677110367683717,,-1.172287661730966,0.00031677110367683717,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Angiopoietin-like protein 8,ANGPTL8,ANGPTL8,Q6UXH0,ANGL8_HUMAN,SwissProt
sp|P35858|ALS_HUMAN,0.32377418155159604,20.677498331221777,,0.0004174772565795374,,0.32377418155159604,0.0004174772565795374,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Insulin-like growth factor-binding protein complex acid labile subunit,IGFALS,IGFALS,P35858,ALS_HUMAN,SwissProt
sp|O00501|CLD5_HUMAN,-0.6170387038489281,12.06212766819589,,0.00044172450833820974,,-0.6170387038489281,0.00044172450833820974,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Claudin-5,CLDN5,CLDN5,O00501,CLD5_HUMAN,SwissProt
sp|O43493|TGON2_HUMAN,0.6925265486590916,13.107223521545935,,0.00045142347738904806,,0.6925265486590916,0.00045142347738904806,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Trans-Golgi network integral membrane protein 2,TGOLN2,TGOLN2,O43493,TGON2_HUMAN,SwissProt
sp|Q8WWZ8|OIT3_HUMAN,0.5428233382884634,17.898493688817986,,0.000553974169774688,,0.5428233382884634,0.000553974169774688,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Oncoprotein-induced transcript 3 protein,OIT3,OIT3,Q8WWZ8,OIT3_HUMAN,SwissProt
sp|Q9Y5C1|ANGL3_HUMAN,-0.4134009589812434,15.891071080678744,,0.0005675647539512157,,-0.4134009589812434,0.0005675647539512157,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Angiopoietin-related protein 3,ANGPTL3,ANGPTL3,Q9Y5C1,ANGL3_HUMAN,SwissProt
sp|P12236|ADT3_HUMAN,0.41124932778557827,16.032532114847644,,0.0006089160409013884,,0.41124932778557827,0.0006089160409013884,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,ADP/ATP translocase 3,SLC25A6,SLC25A6,P12236,ADT3_HUMAN,SwissProt
sp|P05141|ADT2_HUMAN,-0.435365290595596,16.162701409574037,,0.0006239908282326834,,-0.435365290595596,0.0006239908282326834,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,ADP/ATP translocase 2,SLC25A5,SLC25A5,P05141,ADT2_HUMAN,SwissProt
sp|Q9H9B4|SFXN1_HUMAN,-0.4551818789555194,11.586743697275194,,0.0006430928834614183,,-0.4551818789555194,0.0006430928834614183,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Sideroflexin-1,SFXN1,SFXN1,Q9H9B4,SFXN1_HUMAN,SwissProt
sp|Q15008|PSMD6_HUMAN,0.7915980287598331,13.787237700334822,,0.0006771267847661417,,0.7915980287598331,0.0006771267847661417,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,26S proteasome non-ATPase regulatory subunit 6,PSMD6,PSMD6,Q15008,PSMD6_HUMAN,SwissProt
sp|Q6UWD8|CP054_HUMAN,0.49298416873683737,13.686859710396845,,0.00068012591086851,,0.49298416873683737,0.00068012591086851,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Transmembrane protein C16orf54,C16orf54,C16orf54,Q6UWD8,CP054_HUMAN,SwissProt
sp|P07478|TRY2_HUMAN,0.5293222579945975,14.00055940006823,,0.0007193375124809752,,0.5293222579945975,0.0007193375124809752,,,,,,,50,Mixed-effects model (Wald F-test on time),0.10933930189710823,False,Not significant,Trypsin-2,PRSS2,PRSS2,P07478,TRY2_HUMAN,SwissProt
sp|Q8NI99|ANGL6_HUMAN,0.3894343838584972,17.667302499904824,,0.0009169315994050642,,0.3894343838584972,0.0009169315994050642,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,Angiopoietin-related protein 6,ANGPTL6,ANGPTL6,Q8NI99,ANGL6_HUMAN,SwissProt
sp|Q9UNS2|CSN3_HUMAN,0.8186480338822101,14.00195472516843,,0.001034219508917942,,0.8186480338822101,0.001034219508917942,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,COP9 signalosome complex subunit 3,COPS3,COPS3,Q9UNS2,CSN3_HUMAN,SwissProt
sp|O00743|PPP6_HUMAN,0.6493497879024688,14.30501716747979,,0.0010931509316199626,,0.6493497879024688,0.0010931509316199626,,,,,,,50,Mixed-effects model (Wald F-test on time),0.12311085907549228,False,Not significant,Serine/threonine-protein phosphatase 6 catalytic subunit,PPP6C,PPP6C,O00743,PPP6_HUMAN,SwissProt
