Replicate,Sample Type,Analyte Concentration,Subject,Timepoint
A01-511-84A-C4-001,Unknown,,84,D02
A02-Hoof17-002,Quality Control,,Hoof17,
A03-304-75B-B4-003,Unknown,,75,D13
A04-450-08A-C7-004,Unknown,,08,D02
A05-051-21B-D6-005,Unknown,,21,D13
A06-510-08B-C8-006,Unknown,,08,D13
A07-912-46A-A9-007,Unknown,,46,D02
A08-492-84B-B8-008,Unknown,,84,D13
A09-159-21A-D7-009,Unknown,,21,D02
A10-990-46B-A8-010,Unknown,,46,D13
A11-EISAIPool-011,Standard,,EISAIPool,
A12-278-75A-B6-012,Unknown,,75,D02
B01-041-40B-B1-013,Unknown,,40,D13
B02-934-43A-A2-014,Unknown,,43,D02
B03-959-40A-A5-015,Unknown,,40,D02
B04-EISAIPool-016,Standard,,EISAIPool,
B05-334-76A-B9-017,Unknown,,76,D02
B06-GWPool-018,Quality Control,,GWPool,
B07-168-16A-D3-019,Unknown,,16,D02
B08-009-43B-A3-020,Unknown,,43,D13
B09-316-76B-C3-021,Unknown,,76,D13
B10-062-16B-D5-022,Unknown,,16,D13
B11-Hoof17-023,Quality Control,,Hoof17,
B12-GWPool-024,Quality Control,,GWPool,
C01-027-37B-B3-025,Unknown,,37,D13
C02-907-45A-B2-026,Unknown,,45,D02
C03-EISAIPool-027,Standard,,EISAIPool,
C04-155-17A-D1-028,Unknown,,17,D02
C05-166-20A-D8-029,Unknown,,20,D02
C06-249-64B-B5-030,Unknown,,64,D13
C07-985-45B-A1-031,Unknown,,45,D13
C08-Hoof17-032,Quality Control,,Hoof17,
C09-956-37A-A6-033,Unknown,,37,D02
C10-216-64A-C2-034,Unknown,,64,D02
C11-056-20B-D9-035,Unknown,,20,D13
C12-046-17B-C9-036,Unknown,,17,D13
D01-GWPool-037,Quality Control,,GWPool,
D02-039-25B-D2-038,Unknown,,25,D13
D03-043-24B-C5-039,Unknown,,24,D13
D04-084-86A-C1-040,Unknown,,86,D02
D05-EISAIPool-041,Standard,,EISAIPool,
D06-152-24A-D4-042,Unknown,,24,D02
D07-099-86B-B7-043,Unknown,,86,D13
D08-880-56A-A7-044,Unknown,,56,D02
D09-GWPool-045,Quality Control,,GWPool,
D10-143-25A-C6-046,Unknown,,25,D02
D11-970-56B-A4-047,Unknown,,56,D13
D12-Hoof17-048,Quality Control,,Hoof17,Hoof17
