Protein,logFC,AveExpr,t,P.Value,B,group_effect,group_pvalue,time_effect,time_pvalue,aic,bic,n_obs,test_method,adj.P.Val,Significant,Significance,Description_x,Gene,Protein Gene_x,UniProt_Accession_x,UniProt_Entry_Name_x,UniProt_Database,Description_y,Protein Gene_y,UniProt_Accession_y,UniProt_Entry_Name_y
sp|O75711|SCRG1_HUMAN,0.009098228053008597,18.457060028369924,,0.0001662609963247915,,-0.006478241835109098,0.06214945866577595,-0.36669519619831376,0.0012847711584445377,,,36,Mixed-effects model,0.2633574181784697,False,Not significant,Scrapie-responsive protein 1,SCRG1,SCRG1,O75711,SCRG1_HUMAN,SwissProt,Scrapie-responsive protein 1,SCRG1,O75711,SCRG1_HUMAN
sp|Q5JZY3|EPHAA_HUMAN,-0.015690610116788264,11.054209775282624,,0.0008361691058644794,,0.010134004744035148,0.054975795421552814,0.6785204428618599,0.0021810689873996494,,,36,Mixed-effects model,0.6622459318446676,False,Not significant,Ephrin type-A receptor 10,EPHA10,EPHA10,Q5JZY3,EPHAA_HUMAN,SwissProt,Ephrin type-A receptor 10,EPHA10,Q5JZY3,EPHAA_HUMAN
sp|Q8TEP8|CE192_HUMAN,0.007114015954063594,16.14233443139697,,0.0024504963108074726,,-0.0031594315455731664,0.2114281336830427,-0.4683496913802527,2.329213076503203e-05,,,36,Mixed-effects model,1.0,False,Not significant,Centrosomal protein of 192 kDa,CEP192,CEP192,Q8TEP8,CE192_HUMAN,SwissProt,Centrosomal protein of 192 kDa,CEP192,Q8TEP8,CE192_HUMAN
sp|O75493|CAH11_HUMAN,0.012692789329314672,12.067590994610851,,0.005458540587393693,,-0.004164995369275159,0.4088146372067525,-0.715587228264422,0.000890178487852364,,,36,Mixed-effects model,1.0,False,Not significant,Carbonic anhydrase-related protein 11,CA11,CA11,O75493,CAH11_HUMAN,SwissProt,Carbonic anhydrase-related protein 11,CA11,O75493,CAH11_HUMAN
sp|Q9Y653|AGRG1_HUMAN,-0.013949749148237114,10.757516593057447,,0.006568105182406317,,0.012202385178659464,0.04821042506118237,0.4203495841401702,0.08231833463284903,,,36,Mixed-effects model,1.0,False,Not significant,Adhesion G-protein coupled receptor G1,ADGRG1,ADGRG1,Q9Y653,AGRG1_HUMAN,SwissProt,Adhesion G-protein coupled receptor G1,ADGRG1,Q9Y653,AGRG1_HUMAN
sp|Q92752|TENR_HUMAN,0.00547503768069002,13.867165188406627,,0.007050360021495687,,-0.0046105964372166325,0.06773170403309212,-0.1375536228968859,0.15099494590753268,,,36,Mixed-effects model,1.0,False,Not significant,Tenascin-R,TNR,TNR,Q92752,TENR_HUMAN,SwissProt,Tenascin-R,TNR,Q92752,TENR_HUMAN
sp|Q6ZMI3|GLDN_HUMAN,0.013861312685995941,12.627256612588857,,0.008113817455266535,,-0.010275307816612693,0.05577794505300257,-0.3291929094269512,0.18230541151373902,,,36,Mixed-effects model,1.0,False,Not significant,Gliomedin,GLDN,GLDN,Q6ZMI3,GLDN_HUMAN,SwissProt,Gliomedin,GLDN,Q6ZMI3,GLDN_HUMAN
sp|Q9Y5F6|PCDGM_HUMAN,0.006008256682967751,14.474740782374539,,0.009414117878962257,,-0.0032738990588730586,0.34130039790886957,-0.16286984069679644,0.1353922040182879,,,36,Mixed-effects model,1.0,False,Not significant,Protocadherin gamma-C5,PCDHGC5,PCDHGC5,Q9Y5F6,PCDGM_HUMAN,SwissProt,Protocadherin gamma-C5,PCDHGC5,Q9Y5F6,PCDGM_HUMAN
sp|P26038|MOES_HUMAN,0.005675176988345335,14.237834643304966,,0.009939165884870881,,-0.004866035814525276,0.03719009616167962,-0.26460823464340005,0.0107790806364754,,,36,Mixed-effects model,1.0,False,Not significant,Moesin,MSN,MSN,P26038,MOES_HUMAN,SwissProt,Moesin,MSN,P26038,MOES_HUMAN
sp|Q9Y287|ITM2B_HUMAN,0.012201382615669196,14.579255109218142,,0.012107541672081246,,-0.008373018094816009,0.11823927663865054,-0.5261538962271686,0.021724949475113838,,,36,Mixed-effects model,1.0,False,Not significant,Integral membrane protein 2B,ITM2B,ITM2B,Q9Y287,ITM2B_HUMAN,SwissProt,Integral membrane protein 2B,ITM2B,Q9Y287,ITM2B_HUMAN
